adverse_event,count,ROR,CI_Low,CI_High
Amputation,332,404.8780487804878,351.358295409482,466.55006164932337
Osteomyelitis,140,138.3399209486166,114.71070158410505,166.8365153711286
Gangrene,72,66.66666666666667,52.102536321120496,85.30188275388866
Cellulitis,69,63.711911357340725,49.562679965075816,81.90048745681126
Diabetic foot,55,50.13673655423884,37.97449652365791,66.19422460922247
Diabetic foot infection,46,41.59132007233273,30.769015026767235,56.22012611890142
Skin ulcer,35,31.33393017009848,22.255377100337807,44.115863572120986
Sepsis,28,24.91103202846975,17.0342762407257,36.43004891747653
Leg amputation,25,22.182786157941436,14.852535033049858,33.13077536151172
Acute kidney injury,23,20.37201062887511,13.419385394893714,30.926812581217142
Impaired healing,18,15.873015873015872,9.923254326047447,25.39012148904276
Gas gangrene,15,13.192612137203167,7.897129090781142,22.03902367581339
Toe amputation,14,12.302284710017574,7.236264089749941,20.914964850538254
Diabetic ulcer,14,12.302284710017574,7.236264089749941,20.914964850538254
Neuropathic arthropathy,13,11.41352063213345,6.583676528232926,19.78658165563008
Osteomyelitis acute,11,9.640666082383873,5.306629951440323,17.51440054469982
Dry gangrene,7,6.11353711790393,2.9004069868439184,12.88623846981527
Diabetic ketoacidosis,6,5.235602094240838,2.3415900180922606,11.706374334287506
Extremity necrosis,6,5.235602094240838,2.3415900180922606,11.706374334287506
Localised infection,6,5.235602094240838,2.3415900180922606,11.706374334287506
Foot amputation,6,5.235602094240838,2.3415900180922606,11.706374334287506
Osteomyelitis chronic,5,4.359197907585004,1.8069763968550698,10.516244944076925
Myocardial infarction,5,4.359197907585004,1.8069763968550698,10.516244944076925
Diabetes mellitus inadequate control,5,4.359197907585004,1.8069763968550698,10.516244944076925
Abscess limb,4,3.484320557491289,1.302923557301314,9.317883370304891
Injury,4,3.484320557491289,1.302923557301314,9.317883370304891
Wound dehiscence,4,3.484320557491289,1.302923557301314,9.317883370304891
Necrotising fasciitis,4,3.484320557491289,1.302923557301314,9.317883370304891
Treatment noncompliance,4,3.484320557491289,1.302923557301314,9.317883370304891
Peripheral ischaemia,4,3.484320557491289,1.302923557301314,9.317883370304891
Peripheral swelling,3,2.6109660574412534,0.8394081720480522,8.121369293412211
Limb amputation,3,2.6109660574412534,0.8394081720480522,8.121369293412211
Urinary tract infection,3,2.6109660574412534,0.8394081720480522,8.121369293412211
Postoperative wound infection,3,2.6109660574412534,0.8394081720480522,8.121369293412211
